submit_id,user_name,code,problem,lang,verdict,contest_id
79360778,vineetb,"['#include <stdio.h>\r\n#include <stdlib.h>\r\n#include <string.h>\r\nvoid xAxis(int* a,int* b){\r\n    \r\n}\r\nint main()\r\n{\r\n    char arr[1000];\r\n    scanf(""%s"",arr);\r\n    int l,r,u,d,change=0;\r\n    l=0;\r\n    r=0;\r\n    u=0;\r\n    d=0;\r\n    scanf(""%s"",arr);\r\n    int n=strlen(arr);\r\n    for(int i=0;i<n;i++){\r\n        if(arr[i]==\'L\'){\r\n            l++;\r\n        }\r\n        else if(arr[i]==\'R\'){\r\n            r++;\r\n        }\r\n        else if(arr[i]==\'U\'){\r\n            u++;\r\n        }\r\n        else{\r\n            d++;\r\n        }\r\n    }\r\n    int p= l + r + u + d;\r\n    if(p%4!=0){\r\n        printf(""-1"");\r\n        return 0;\r\n    }\r\n    if(l>r){\r\n        while((l-r)>1){\r\n            l--;\r\n            r++;\r\n            change++;\r\n        }\r\n    }\r\n    if(r>l){\r\n        while((r-l)>1){\r\n            r--;\r\n            l++;\r\n            change++;\r\n        }\r\n    }\r\n    if(u>d){\r\n        while((u-d)>1){\r\n            u--;\r\n            d++;\r\n            change++;\r\n        }\r\n    }\r\n    if(d>u){\r\n        while((d-u)>1){\r\n            d--;\r\n            u++;\r\n            change++;\r\n        }\r\n    }\r\n    if(l!=r){\r\n        change++;\r\n    }\r\n    printf(""%d"",change);\r\n\r\n    return 0;\r\n}\r\n']",B - Memory and Trident,GNU C11,WRONG_ANSWER,712
79360898,vineetb,"['#include <stdio.h>\r\n#include <stdlib.h>\r\n#include <string.h>\r\nvoid xAxis(int* a,int* b){\r\n    \r\n}\r\nint main()\r\n{\r\n    char arr[1000];\r\n    scanf(""%s"",arr);\r\n    int l,r,u,d,change=0;\r\n    l=0;\r\n    r=0;\r\n    u=0;\r\n    d=0;\r\n    scanf(""%s"",arr);\r\n    int n=strlen(arr);\r\n    for(int i=0;i<n;i++){\r\n        if(arr[i]==\'L\'){\r\n            l++;\r\n        }\r\n        else if(arr[i]==\'R\'){\r\n            r++;\r\n        }\r\n        else if(arr[i]==\'U\'){\r\n            u++;\r\n        }\r\n        else{\r\n            d++;\r\n        }\r\n    }\r\n    int p= l + r + u + d;\r\n    if(p%2!=0){\r\n        printf(""-1"");\r\n        return 0;\r\n    }\r\n    if(l>r){\r\n        while((l-r)>1){\r\n            l--;\r\n            r++;\r\n            change++;\r\n        }\r\n    }\r\n    if(r>l){\r\n        while((r-l)>1){\r\n            r--;\r\n            l++;\r\n            change++;\r\n        }\r\n    }\r\n    if(u>d){\r\n        while((u-d)>1){\r\n            u--;\r\n            d++;\r\n            change++;\r\n        }\r\n    }\r\n    if(d>u){\r\n        while((d-u)>1){\r\n            d--;\r\n            u++;\r\n            change++;\r\n        }\r\n    }\r\n    if(l!=r){\r\n        change++;\r\n    }\r\n    printf(""%d"",change);\r\n\r\n    return 0;\r\n}\r\n']",B - Memory and Trident,GNU C11,TIME_LIMIT_EXCEEDED,712
79361137,vineetb,"['#include <stdio.h>\r\n#include <stdlib.h>\r\n#include <string.h>\r\nint main()\r\n{\r\n    char* arr;\r\n    scanf(""%s"",arr);\r\n    int l,r,u,d,change=0;\r\n    l=0;\r\n    r=0;\r\n    u=0;\r\n    d=0;\r\n    scanf(""%s"",arr);\r\n    int n=strlen(arr);\r\n    for(int i=0;i<n;i++){\r\n        if(arr[i]==\'L\'){\r\n            l++;\r\n        }\r\n        else if(arr[i]==\'R\'){\r\n            r++;\r\n        }\r\n        else if(arr[i]==\'U\'){\r\n            u++;\r\n        }\r\n        else{\r\n            d++;\r\n        }\r\n    }\r\n    int p= l + r + u + d;\r\n    if(p%2!=0){\r\n        printf(""-1"");\r\n        return 0;\r\n    }\r\n    if(l>r){\r\n        while((l-r)>1){\r\n            l--;\r\n            r++;\r\n            change++;\r\n        }\r\n    }\r\n    if(r>l){\r\n        while((r-l)>1){\r\n            r--;\r\n            l++;\r\n            change++;\r\n        }\r\n    }\r\n    if(u>d){\r\n        while((u-d)>1){\r\n            u--;\r\n            d++;\r\n            change++;\r\n        }\r\n    }\r\n    if(d>u){\r\n        while((d-u)>1){\r\n            d--;\r\n            u++;\r\n            change++;\r\n        }\r\n    }\r\n    if(l!=r){\r\n        change++;\r\n    }\r\n    printf(""%d"",change);\r\n\r\n    return 0;\r\n}\r\n']",B - Memory and Trident,GNU C11,RUNTIME_ERROR,712
79361362,vineetb,"['#include <stdio.h>\r\n#include <stdlib.h>\r\n#include <string.h>\r\nint main()\r\n{\r\n    char arr[100000];\r\n    scanf(""%s"",arr);\r\n    int l,r,u,d,change=0;\r\n    l=0;\r\n    r=0;\r\n    u=0;\r\n    d=0;\r\n    scanf(""%s"",arr);\r\n    int n=strlen(arr);\r\n    for(int i=0;i<n;i++){\r\n        if(arr[i]==\'L\'){\r\n            l++;\r\n        }\r\n        else if(arr[i]==\'R\'){\r\n            r++;\r\n        }\r\n        else if(arr[i]==\'U\'){\r\n            u++;\r\n        }\r\n        else{\r\n            d++;\r\n        }\r\n    }\r\n    int p= l + r + u + d;\r\n    if(p%2!=0){\r\n        printf(""-1"");\r\n        return 0;\r\n    }\r\n    if(l>r){\r\n        while((l-r)>1){\r\n            l--;\r\n            r++;\r\n            change++;\r\n        }\r\n    }\r\n    if(r>l){\r\n        while((r-l)>1){\r\n            r--;\r\n            l++;\r\n            change++;\r\n        }\r\n    }\r\n    if(u>d){\r\n        while((u-d)>1){\r\n            u--;\r\n            d++;\r\n            change++;\r\n        }\r\n    }\r\n    if(d>u){\r\n        while((d-u)>1){\r\n            d--;\r\n            u++;\r\n            change++;\r\n        }\r\n    }\r\n    if(l!=r){\r\n        change++;\r\n    }\r\n    printf(""%d"",change);\r\n\r\n    return 0;\r\n}\r\n']",B - Memory and Trident,GNU C11,OK,712
