submit_id,user_name,code,problem,lang,verdict,contest_id
78424905,bhumur,"['#include<stdio.h>\r\nint main()\r\n{\r\n\tlong int t,s,x;\r\n\tscanf(""%ld %ld %ld"",&t,&s,&x);\r\n\twhile(t<=x)\r\n\t{\r\n\t\tif(t==x)\r\n\t\t{\r\n\t\t\tprintf(""YES"");\r\n\t\t\treturn 0;\r\n\t\t}\r\n\t\telse\r\n\t\t{\r\n\t\t\tt=t+s;\r\n\t\t\tif(t==x)\r\n\t\t\t{\r\n\t\t\t\tprintf(""YES"");\r\n\t\t\t\treturn 0;\r\n\t\t\t}\r\n\t\t\telse if(t+1==x)\r\n\t\t\t{\r\n\t\t\t\tprintf(""YES"");\r\n\t\t\t\treturn 0;\r\n\t\t\t}\r\n\t\t}\r\n\t}\r\n\tprintf(""NO"");\r\n\treturn 0;\r\n}']",A - Pineapple Incident,GNU C11,OK,697
78260345,sudipto2000,"['#include<stdio.h>\nint main()\n{\n\tint t,s,x;\n\tscanf(""%d %d %d"",&t,&s,&x);\n\tif(x==t+1||t>x||s>x)\n\t\tprintf(""NO\\n"");\n\telse\n\t{\n\t\tif((x-t)%s==0||(x-t-1)%s==0)\n\t\t\tprintf(""YES\\n"");\n\t\telse\n\t\t\tprintf(""NO\\n"");\n\t}\n}\n']",A - Pineapple Incident,GNU C11,WRONG_ANSWER,697
78260416,sudipto2000,"['#include<stdio.h>\nint main()\n{\n\tint t,s,x;\n\tscanf(""%d %d %d"",&t,&s,&x);\n\tif(x==t+1||t>x)\n\t\tprintf(""NO\\n"");\n\telse\n\t{\n\t\tif((x-t)%s==0||(x-t-1)%s==0)\n\t\t\tprintf(""YES\\n"");\n\t\telse\n\t\t\tprintf(""NO\\n"");\n\t}\n}\n']",A - Pineapple Incident,GNU C11,OK,697
78260190,sudipto2000,"['#include<stdio.h>\nint main()\n{\n\tint t,s,x;\n\tscanf(""%d %d %d"",&t,&s,&x);\n\tif(x==t+1)\n\t\tprintf(""NO\\n"");\n\telse\n\t{\n\t\tif((x-t)%s==0||(x-t-1)%s==0)\n\t\t\tprintf(""YES\\n"");\n\t\telse\n\t\t\tprintf(""NO\\n"");\n\t}\n}\n']",A - Pineapple Incident,GNU C11,WRONG_ANSWER,697
78017741,Rahin31,"['#include<stdio.h>\r\nint main()\r\n{\r\n    long long int t,s,x;\r\n    scanf(""%lld %lld %lld"",&t,&s,&x);\r\n    if(x==t)\r\n    {\r\n        printf(""YES\\n"");\r\n    }\r\n    else if(((x-t)/s)>=1&&((x-t)%s==0||(x-t)%s==1))\r\n    {\r\n        printf(""YES\\n"");\r\n    }\r\n    else\r\n    {\r\n        printf(""NO\\n"");\r\n    }\r\n}\r\n']",A - Pineapple Incident,GNU C11,OK,697
77658985,rahinahmed6561,"['#include<stdio.h>\r\nint main()\r\n{\r\n    long long int t,s,x;\r\n    scanf(""%lld %lld %lld"",&t,&s,&x);\r\n    if(x==t)\r\n    {\r\n        printf(""YES\\n"");\r\n    }\r\n    else if(((x-t)/s)>=1&&((x-t)%s==0||(x-t)%s==1))\r\n    {\r\n        printf(""YES\\n"");\r\n    }\r\n    else\r\n    {\r\n        printf(""NO\\n"");\r\n    }\r\n}\r\n']",A - Pineapple Incident,GNU C11,OK,697
77656024,Ruhani,"['#include<stdio.h>\r\nint main()\r\n{\r\n    int t,s,x;\r\n    scanf(""%d %d %d"",&t,&s,&x);\r\n    if((x >= t && x % s == t % s)||(x > t + 1 && x % s == (t + 1) % s)){\r\n        printf(""YES\\n"");\r\n    }\r\n    else printf(""NO\\n"");\r\n    return 0;\r\n}\r\n']",A - Pineapple Incident,GNU C11,OK,697
77655703,Ruhani,"['#include<stdio.h>\r\nint main()\r\n{\r\n    int t,s,x;\r\n    scanf(""%d %d %d"",&t,&s,&x);\r\n    if((x%s==t%s&&t<=s)||(x%s==(t+1)%s&&(t+1)<x)){\r\n        printf(""YES\\n"");\r\n    }\r\n    else printf(""NO\\n"");\r\n    return 0;\r\n}\r\n']",A - Pineapple Incident,GNU C11,WRONG_ANSWER,697
77655359,Ruhani,"['#include<stdio.h>\r\nint main()\r\n{\r\n    int t,s,x;\r\n    scanf(""%d %d %d"",&t,&s,&x);\r\n    if((x%s==t%s&&t<=s)||x%s==(t+1)%s&&t+1<x){\r\n        printf(""YES\\n"");\r\n    }\r\n    else printf(""NO\\n"");\r\n    return 0;\r\n}\r\n']",A - Pineapple Incident,GNU C11,WRONG_ANSWER,697
