submit_id,user_name,code,problem,lang,verdict,contest_id
77725822,dpw4112001,"['#include<stdio.h>\r\nint main() {\r\n\tint type, mm, hh, ans = 0;\r\n\tscanf(""%d"", &type);\r\n\tscanf(""%d%d"", &hh, &mm);\r\n\tif(mm < 0) mm++;\r\n\tif(mm > 59) mm %= 10;\r\n \r\n\tif(type == 12) {\r\n\t\tif(hh > 12) {\r\n\t\t\tif(hh % 10)\r\n\t\t\t\thh %= 10;\r\n\t\t\telse\r\n\t\t\t\thh = 10;\r\n\t\t}\r\n\t\tif(hh <= 0)\thh = 1;\r\n\t} \r\n\telse if(hh > 23)\t{\r\n\t\t\tif(hh % 10)\r\n\t\t\t\thh %= 10;\r\n\t\t\telse\r\n\t\t\t\thh = 10;\r\n\t\t}\r\n\t\tif(hh < 0)\thh = 0;\r\n\t\r\n\tif(hh<10)\r\n\tprintf(""0"");\r\n\tprintf(""%d"",hh);\r\n\tprintf("":"");\r\n\tif(mm<10)\r\n\tprintf(""0"");\r\n\tprintf(""%d"",mm);\r\n\treturn 0;\r\n}\r\n']",A - Broken Clock,GNU C11,WRONG_ANSWER,722
73954924,yashwant_singh,"['#include <stdio.h>\n#include<string.h>\n\nint main(void) {\n\tint n,p[100],count,size,found=0;\n\tchar s[100][200];\n\tscanf(""%d"",&n);\n\tfor(int i=0;i<n;i++)\n\t{\n\t    scanf(""%d "",&p[i]);\n\t}\n\tfor(int i=0;i<n;i++)\n\t{\n\t    gets(s[i]);\n\t}\n\tfor(int i=0;i<n;i++)\n\t{\n\t    count=0;\n\t    size=0;\n\t    size=strlen(s[i]);\n\t    for(int j=0;j<size;j++)\n\t    {\n\t        if(s[i][j]==\'a\'||s[i][j]==\'e\'||s[i][j]==\'i\'||s[i][j]==\'o\'||s[i][j]==\'u\' || s[i][j] == \'y\')\n\t        count++;\n\t    }\n\t    if(count!=p[i])\n\t    {\n\t      found=1;\n\t      break;\n\t    }\n\t}\n\tif(found)\n\tprintf(""NO"");\n\telse\n\tprintf(""YES"");\n\treturn 0;\n}\n']",B - Verse Pattern,GNU C11,OK,722
73954790,yashwant_singh,"['#include <stdio.h>\n#include<string.h>\n\nint main(void) {\n\tint n,p[100],count,size,found=0;\n\tchar s[100][200];\n\tscanf(""%d"",&n);\n\tfor(int i=0;i<n;i++)\n\t{\n\t    scanf(""%d "",&p[i]);\n\t}\n\tfor(int i=0;i<n;i++)\n\t{\n\t    gets(s[i]);\n\t}\n\tfor(int i=0;i<n;i++)\n\t{\n\t    count=0;\n\t    size=0;\n\t    size=strlen(s[i]);\n\t    for(int j=0;j<size;j++)\n\t    {\n\t        if(s[i][j]==\'a\'||s[i][j]==\'e\'||s[i][j]==\'i\'||s[i][j]==\'o\'||s[i][j]==\'u\')\n\t        count++;\n\t    }\n\t    if(count!=p[i])\n\t    {\n\t      found=1;\n\t      break;\n\t    }\n\t}\n\tif(found)\n\tprintf(""NO"");\n\telse\n\tprintf(""YES"");\n\treturn 0;\n}\n']",B - Verse Pattern,GNU C11,WRONG_ANSWER,722
